364: 1/1/2015 16:45 43.59, -116.33 Snow
365: 1/1/2015 16:46 33.45, -96.74 Freezing Rain
366: 1/1/2015 16:46 34.66, -97.22 Drizzle
367: 1/1/2015 16:48 33.45, -96.74 Freezing Rain
368: 1/1/2015 16:48 38.91, -76.94 Test
369: 1/1/2015 16:48 37.28, -98.03 Freezing Rain
370: 1/1/2015 16:49 33.84, -98.56 Freezing Rain
371: 1/1/2015 16:49 33.45, -96.74 Freezing Rain
372: 1/1/2015 16:51 33.45, -96.74 Freezing Rain
373: 1/1/2015 16:52 35.49, -96.69 Freezing Rain
374: 1/1/2015 16:53 26.45, -80.07 Rain
375: 1/1/2015 16:53 35.42, -99.39 Dense Fog
376: 1/1/2015 16:53 35.42, -99.39 Dense Fog
377: 1/1/2015 16:54 34.65, -97.22 Rain
378: 1/1/2015 16:55 35.42, -99.39 Freezing Drizzle
379: 1/1/2015 16:55 35.42, -99.39 Freezing Drizzle
380: 1/1/2015 16:58 33.45, -96.74 Freezing Rain
381: 1/1/2015 16:59 31.74, -97.55 Drizzle
382: 1/1/2015 17:00 32.99, -96.66 Freezing Rain
383: 1/1/2015 17:00 33.45, -96.74 Freezing Rain
384: 1/1/2015 17:01 33.94, -96.61 Freezing Rain
385: 1/1/2015 17:01 33.45, -96.74 Freezing Rain
386: 1/1/2015 17:04 33.45, -96.74 Freezing Rain
387: 1/1/2015 17:05 33.45, -96.74 Freezing Rain
388: 1/1/2015 17:05 32.83, -96.82 Rain
389: 1/1/2015 17:07 32.46, -99.79 Drizzle
390: 1/1/2015 16:54 34.65, -97.22 Rain
391: 1/1/2015 17:07 32.46, -99.79 Freezing Drizzle
392: 1/1/2015 17:07 40.50, -80.03 Test
393: 1/1/2015 17:11 34.50, -97.12 Freezing Rain
394: 1/1/2015 17:13 44.95, -123.08 None
395: 1/1/2015 17:13 36.71, -96.00 None
396: 1/1/2015 17:14 30.50, -97.84 Drizzle
397: 1/1/2015 17:16 34.68, -96.49 Rain
398: 1/1/2015 17:16 34.30, -99.74 Freezing Drizzle
399: 1/1/2015 19:23 35.21, -97.57 Test
400: 1/1/2015 17:17 33.66, -95.66 Rain
401: 1/1/2015 17:18 33.45, -96.74 Freezing Rain
402: 1/1/2015 17:17 35.01, -97.37 Rain
403: 1/1/2015 17:18 43.62, -116.22 Snow
404: 1/1/2015 17:19 43.25, -77.69 None
405: 1/1/2015 17:19 43.25, -77.69 None
406: 1/1/2015 17:19 34.85, -96.66 None
407: 1/1/2015 17:19 34.52, -97.41 Freezing Rain
408: 1/1/2015 17:22 35.43, -96.58 Drizzle
409: 1/1/2015 17:22 33.45, -96.74 Freezing Rain
410: 1/1/2015 17:23 34.01, -97.14 Freezing Rain
411: 1/1/2015 17:24 35.15, -97.64 Freezing Drizzle
412: 1/1/2015 17:25 33.45, -96.74 Freezing Rain
413: 1/1/2015 17:25 43.60, -86.36 Snow
414: 1/1/2015 17:26 33.94, -96.61 Rain
415: 1/1/2015 17:27 34.77, -92.31 None
416: 1/1/2015 17:28 34.25, -96.70 Freezing Rain
417: 1/1/2015 17:28 34.77, -92.31 Rain/Ice Pellets
418: 1/1/2015 17:28 34.75, -92.45 Ice Pellets
419: 1/1/2015 17:29 35.09, -92.22 Rain
420: 1/1/2015 17:30 35.24, -97.36 Freezing Drizzle
421: 1/1/2015 17:30 45.21, -123.22 None
422: 1/1/2015 17:31 35.18, -97.46 Freezing Drizzle
423: 1/1/2015 17:31 34.18, -97.13 Freezing Rain
424: 1/1/2015 17:33 33.45, -96.74 Freezing Rain
425: 1/1/2015 17:34 34.76, -96.68 Freezing Drizzle
426: 1/1/2015 17:34 35.12, -97.67 Freezing Drizzle
427: 1/1/2015 02:11 38.37, -87.54 None
428: 1/1/2015 17:35 33.00, -97.26 Rain
429: 1/1/2015 17:37 35.93, -95.66 Rain
430: 1/1/2015 17:39 31.61, -99.92 None
431: 1/1/2015 17:39 29.77, -99.06 Drizzle
432: 1/1/2015 17:40 32.44, -98.99 Freezing Drizzle
433: 1/1/2015 17:23 34.01, -97.14 Freezing Rain
434: 1/1/2015 17:40 35.65, -97.73 Ice Pellets
435: 1/1/2015 17:50 39.00, -76.89 None
436: 1/1/2015 17:42 34.43, -97.11 Rain
437: 1/1/2015 17:43 34.50, -97.00 Rain/Ice Pellets
438: 1/1/2015 17:43 35.22, -97.46 Drizzle
439: 1/1/2015 17:44 35.95, -95.59 Freezing Rain
440: 1/1/2015 17:44 36.13, -95.86 Freezing Rain
441: 1/1/2015 17:44 34.86, -92.34 Rain
442: 1/1/2015 17:45 29.57, -98.64 Rain
443: 1/1/2015 17:46 41.84, -87.77 None
444: 1/1/2015 17:47 34.85, -96.66 Drizzle
445: 1/1/2015 17:50 32.98, -96.62 Rain
446: 1/1/2015 17:50 35.64, -97.75 Rain/Ice Pellets
447: 1/1/2015 17:51 36.03, -95.87 Ice Pellets
448: 1/1/2015 17:51 36.67, -96.41 Rain
449: 1/1/2015 17:52 31.43, -100.50 Drizzle
450: 1/1/2015 17:52 35.62, -97.64 Freezing Rain
451: 1/1/2015 17:53 35.12, -97.70 Freezing Drizzle
452: 1/1/2015 17:54 33.71, -97.16 Freezing Drizzle
453: 1/1/2015 17:56 34.16, -96.90 Rain
454: 1/1/2015 17:56 34.51, -96.96 None
455: 1/1/2015 17:57 35.61, -97.64 Freezing Drizzle
456: 1/1/2015 17:57 34.51, -96.96 Freezing Rain
457: 1/1/2015 18:04 35.21, -97.46 Freezing Drizzle
458: 1/1/2015 18:06 35.67, -97.53 Rain
459: 1/1/2015 18:07 34.74, -96.61 Rain
460: 1/1/2015 18:11 36.18, -94.69 Rain
461: 1/1/2015 18:12 33.82, -96.78 Drizzle
462: 1/1/2015 18:13 35.98, -95.84 Drizzle
463: 1/1/2015 18:14 36.20, -94.75 Rain
464: 1/1/2015 18:15 33.45, -96.74 Freezing Drizzle
465: 1/1/2015 18:17 33.94, -96.61 Freezing Rain
466: 1/1/2015 18:17 36.19, -97.05 Rain/Ice Pellets
467: 1/1/2015 18:17 44.97, -89.62 None
468: 1/1/2015 18:20 31.47, -97.11 Rain
469: 1/1/2015 18:20 36.01, -95.81 Freezing Rain
470: 1/1/2015 18:20 35.91, -94.91 Freezing Rain
471: 1/1/2015 18:20 43.60, -76.10 Snow
472: 1/1/2015 18:21 36.21, -94.90 Rain
473: 1/1/2015 18:23 38.83, -104.55 Snow
474: 1/1/2015 18:23 39.16, -77.20 None
475: 1/1/2015 18:23 43.64, -76.08 Snow
476: 1/1/2015 18:23 37.68, -97.13 Freezing Drizzle
477: 1/1/2015 18:23 37.68, -97.13 Freezing Drizzle
478: 1/1/2015 17:54 33.71, -97.16 Freezing Drizzle
479: 1/1/2015 18:24 43.60, -86.36 Snow
480: 1/1/2015 18:25 35.47, -97.35 Freezing Drizzle
481: 1/1/2015 18:25 36.22, -94.99 Rain
482: 1/1/2015 18:25 39.07, -104.32 Snow
483: 1/1/2015 18:25 39.07, -104.32 Snow
484: 1/1/2015 18:26 36.21, -95.01 Rain
485: 1/1/2015 18:27 32.29, -90.00 Drizzle
486: 1/1/2015 18:28 29.52, -98.56 Drizzle
487: 1/1/2015 18:29 33.22, -96.65 Rain
